id;match_name;match_date;team1_id;team1_score;team2_id;team2_score
5301;NEC - Roda JC Kerkrade;2011-11-19 19:45;69;1;169;\N
5302;Heerenveen - RKC Waalwijk;2011-11-19 18:45;164;1;650;\N
5303;ADO Den Haag - Utrecht;2011-11-20 11:30;155;2;162;\N
5304;Vitesse - Feyenoord;2011-11-20 11:30;171;\N;64;\N
5305;Groningen - VVV;2011-11-20 13:30;160;2;170;\N
5306;Excelsior Rotterdam - AZ;2011-12-07 18:30;159;\N;156;\N
5307;AZ - Utrecht;2011-11-25 22:00;156;2;162;\N
5308;VVV - De Graafschap;2011-11-26 19:45;170;1;158;\N
5309;NAC Breda - Heerenveen;2011-11-26 17:45;166;2;164;\N
5310;PSV - Groningen;2011-11-26 20:45;168;6;160;\N
5311;Roda JC Kerkrade - Heracles;2011-11-26 18:45;169;3;165;\N
5312;NEC - Ajax;2011-11-27 13:30;69;\N;157;\N
5313;RKC Waalwijk - Feyenoord;2011-11-27 11:30;650;1;64;\N
5314;Twente Enschede FC - Vitesse;2011-11-27 16:30;161;\N;171;\N
5315;Excelsior Rotterdam - ADO Den Haag;2011-11-27 12:30;159;1;155;\N
5316;Heracles - VVV;2011-12-02 19:00;165;7;170;\N
5317;ADO Den Haag - NAC Breda;2011-12-03 19:45;155;3;166;\N
5318;Ajax - Excelsior Rotterdam;2011-12-03 20:45;157;4;159;\N
5319;Groningen - NEC;2011-12-03 17:45;160;3;69;\N
5320;De Graafschap - Roda JC Kerkrade;2011-12-03 18:45;158;1;169;\N
5321;Vitesse - RKC Waalwijk;2011-12-04 14:30;171;4;650;\N
5322;Utrecht - Twente Enschede FC;2011-12-04 13:30;162;2;161;\N
5323;Feyenoord - PSV;2011-12-04 11:30;64;2;168;\N
5324;Heerenveen - AZ;2011-12-04 16:30;164;5;156;\N
5325;ADO Den Haag - Heracles;2011-12-09 19:00;155;2;165;\N
5326;AZ - De Graafschap;2011-12-10 19:45;156;4;158;\N
5327;PSV - NAC Breda;2011-12-10 20:45;168;1;166;\N
5328;Twente Enschede FC - NEC;2011-12-10 17:45;161;2;69;\N
5329;Excelsior Rotterdam - Heerenveen;2011-12-10 18:45;159;\N;164;\N
5330;VVV - Roda JC Kerkrade;2011-12-11 11:30;170;2;169;\N
5331;Vitesse - Groningen;2011-12-11 16:30;171;\N;160;\N
5332;RKC Waalwijk - Ajax;2011-12-11 13:30;650;\N;157;\N
5333;Utrecht - Feyenoord;2011-12-11 14:30;162;2;64;\N
5334;De Graafschap - RKC Waalwijk;2011-12-16 19:00;158;1;650;\N
5335;Heracles - Vitesse;2011-12-17 17:45;165;\N;171;\N
5336;Groningen - Utrecht;2011-12-17 20:45;160;1;162;\N
5337;NEC - VVV;2011-12-17 18:45;69;2;170;\N
5338;Roda JC Kerkrade - Excelsior Rotterdam;2011-12-17 19:45;169;7;159;\N
5339;Ajax - ADO Den Haag;2011-12-18 11:30;157;4;155;\N
5340;NAC Breda - AZ;2011-12-18 14:30;166;2;156;\N
5341;Feyenoord - Twente Enschede FC;2011-12-18 13:30;64;3;161;\N
5342;Heerenveen - PSV;2011-12-18 16:30;164;1;168;\N
5343;ADO Den Haag - Roda JC Kerkrade;2012-01-20 19:00;155;3;169;\N
5344;De Graafschap - Heerenveen;2012-01-21 17:45;158;\N;164;\N
5345;Twente Enschede FC - RKC Waalwijk;2012-01-21 19:45;161;5;650;\N
5346;Excelsior Rotterdam - NAC Breda;2012-01-21 19:45;159;3;166;\N
5347;AZ - Ajax;2012-01-22 13:30;156;1;157;\N
5348;VVV - Feyenoord;2012-01-22 14:30;170;2;64;\N
5349;Vitesse - NEC;2012-01-22 14:30;171;\N;69;\N
5350;Groningen - Heracles;2012-01-22 14:30;160;2;165;\N
5351;Utrecht - PSV;2012-01-22 15:30;162;1;168;\N
5352;PSV - Vitesse;2012-01-27 19:00;168;3;171;\N
5353;Heracles - Excelsior Rotterdam;2012-01-28 18:45;165;3;159;\N
5354;NAC Breda - De Graafschap;2012-01-28 19:45;166;1;158;\N
5355;Roda JC Kerkrade - AZ;2012-01-28 20:45;169;2;156;\N
